Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
12	158	PUNILLA	TANTI	4401	4878	5195	5927	6518	6828	TANTI
9	120	MARCOS JUAREZ	ARIAS	6003	6054	6392	6533	6509	6377	ARIAS
13	161	RIO CUARTO	ADELIA MARIA	5482	5756	6039	6341	6453	6418	ADELIA MARIA
13	166	RIO CUARTO	BERROTARAN	5654	5885	6081	6347	6393	6310	BERROTARAN
9	126	MARCOS JUAREZ	CRUZ ALTA	5940	6072	6221	6295	6275	6181	CRUZ ALTA
3	30	COLON	COLONIA TIROLESA	4100	4187	4362	5315	6265	6759	COLONIA TIROLESA
1	13I	CAPITAL	SAN JORGE	4714	5208	5706	6024	6206	6061	Córdoba
12	147	PUNILLA	BIALET MASSE	3805	4337	4693	5554	6163	6299	BIALET MASSE
20	291	SAN JUSTO	FREYRE	5134	5502	5953	6152	6151	6146	FREYRE
1	2	CAPITAL	SECCIONAL SEGUNDA	5737	5616	5850	5693	6145	6130	Córdoba
12	152	PUNILLA	HUERTA GRANDE	4607	4882	5221	5650	6037	6041	HUERTA GRANDE
18	261	SAN ALBERTO	BROCHERO	4087	4740	5158	5650	5979	6057	BROCHERO
21	323	SANTA MARIA	DESPEÑADEROS	4891	5051	5335	5604	5951	5990	DESPEÑADEROS
1	9	CAPITAL	ESCOBAR	5958	5968	6072	5873	5916	5803	Córdoba
1	9G	CAPITAL	VILLA CABRERA	6371	6150	6060	5899	5859	5713	Córdoba
1	12A	CAPITAL	CARCANO	3370	4140	4834	5497	5820	5786	Córdoba
16	237	RIO SEGUNDO	LUQUE	4321	4694	5185	5555	5751	5777	LUQUE
20	280	SAN JUSTO	BALNEARIA	5084	5367	5554	5618	5721	5674	BALNEARIA
12	159	PUNILLA	VALLE HERMOSO	4757	5123	5149	5416	5671	5725	VALLE HERMOSO
9	134	MARCOS JUAREZ	MONTE BUEY	4752	5063	5174	5441	5623	5625	MONTE BUEY
20	285	SAN JUSTO	DEVOTO	4923	5177	5246	5509	5611	5582	DEVOTO
16	241	RIO SEGUNDO	POZO DEL MOLLE	4852	5110	5236	5578	5585	5585	POZO DEL MOLLE
1	10K	CAPITAL	VICOR	2626	3341	4117	4888	5551	5615	Córdoba
13	162	RIO CUARTO	ALCIRA	4837	4952	5194	5508	5527	5495	ALCIRA
12	152A	PUNILLA	VILLA GIARDINO	3632	4107	4273	4997	5428	5580	VILLA GIARDINO
1	14I	CAPITAL	SANTA CECILIA	3441	3935	4610	5146	5406	5459	Córdoba
13	172	RIO CUARTO	HOLMBERG	3422	3768	3996	4707	5333	5635	HOLMBERG
1	5A	CAPITAL	COLONIA LOLA	4801	4970	5097	5178	5322	5290	Córdoba
26	389	UNION	LABORDE	4710	4853	5005	5210	5244	5255	LABORDE
1	6	CAPITAL	ALTO GRAL PAZ	5603	5328	5352	5305	5240	5218	Córdoba
8	102	JUAREZ CELMAN	ALEJANDRO	4249	4479	4744	5040	5183	5226	ALEJANDRO
20	305	SAN JUSTO	PORTEÑA	4168	4384	4683	4967	5155	5124	PORTEÑA
1	14L	CAPITAL	VILLA BELGRANO	6296	6110	5819	5310	5134	5069	Córdoba
17	252	ROQUE SAENZ PEÑA	LEVALLE	4609	4733	4968	5066	5116	5095	LEVALLE
1	5I	CAPITAL	COLINAS DEL SUR	1941	3258	4032	4756	5111	5102	Córdoba
15	229	RIO SECO	VILLA DE MARIA	3678	3942	4421	4823	5088	5127	VILLA DE MARIA
1	10A	CAPITAL	CABILDO	3756	4030	4436	4776	5049	5108	Córdoba
1	12E	CAPITAL	FERREYRA	3811	4026	4425	4774	5033	5023	Córdoba
1	9E	CAPITAL	PROVIDENCIA	4698	4535	4681	4903	5033	5067	Córdoba
5	70	GENERAL ROCA	VILLA HUIDOBRO	4536	4644	4878	4969	5029	5018	VILLA HUIDOBRO
1	14C	CAPITAL	ARGUELLO SEGUNDO	3026	3595	4232	4650	5006	5029	Córdoba
1	9A	CAPITAL	LA FRANCE	4984	4990	5088	4942	4987	4909	Córdoba
8	118	JUAREZ CELMAN	UCACHA	4430	4524	4707	4849	4951	4913	UCACHA
23	349	TERCERO ARRIBA	TANCACHA	4605	4631	4677	4818	4912	4894	TANCACHA
19	270	SAN JAVIER	LAS ROSAS	3246	3371	3771	4364	4780	4892	LAS ROSAS
21	316A	SANTA MARIA	ANIZACATE	1832	2405	2951	4043	4759	4894	ANIZACATE
12	156D	PUNILLA	SAN ANTONIO DE ARREDONDO	2086	2752	3437	4474	4750	4876	SAN ANTONIO DE ARREDONDO
1	11M	CAPITAL	VALLE ESCONDIDO	423	1509	2764	3960	4742	5185	Córdoba
21	331	SANTA MARIA	TOLEDO	3208	3480	3660	4299	4742	5050	TOLEDO
1	11	CAPITAL	AERONAUTICO	3379	3751	4117	4503	4728	4784	Córdoba
1	5F	CAPITAL	RENACIMIENTO	3131	3635	4087	4482	4715	4632	Córdoba
18	265A	SAN ALBERTO	VILLA SARMIENTO	3534	4021	4234	4457	4694	4645	VILLA SARMIENTO
1	14N	CAPITAL	VILLA CORNU	3918	5431	6469	5269	4679	4538	Córdoba
1	14H	CAPITAL	MERCANTIL	892	1002	1211	3606	4663	4914	Córdoba
1	4C	CAPITAL	INAUDI	3114	3487	3922	4300	4652	4762	Córdoba
1	12C	CAPITAL	CORONEL OLMEDO	4048	4143	4362	4524	4632	4593	Córdoba
23	341	TERCERO ARRIBA	JAMES CRAIK	4233	4301	4471	4581	4627	4635	JAMES CRAIK
25	364	TULUMBA	LA DORMIDA	3518	3757	4155	4459	4606	4659	LA DORMIDA
18	265	SAN ALBERTO	SAN PEDRO	3293	3729	3992	4175	4588	4607	SAN PEDRO
26	393	UNION	NOETINGER	4230	4347	4377	4558	4566	4532	NOETINGER
23	342	TERCERO ARRIBA	LAS PERDICES	3758	3962	4034	4278	4401	4413	LAS PERDICES
5	63	GENERAL ROCA	JOVITA	3623	3962	4119	4281	4398	4391	JOVITA
7	99	ISCHILIN	QUILINO ESTACION	3607	3747	3922	4200	4210	4263	QUILINO ESTACION
9	123	MARCOS JUAREZ	CAMILO ALDAO	4028	3974	3957	4149	4129	4037	CAMILO ALDAO
9	129	MARCOS JUAREZ	ISLA VERDE	3646	3921	4062	4118	4111	4174	ISLA VERDE
1	8A	CAPITAL	PALMAR	2756	3327	3617	3931	4073	4045	Córdoba
1	5E	CAPITAL	VILLA BUSTOS (En 2007 era PRIMERO DE MAYO)	10232	5294	4345	4055	4072	4057	Córdoba
26	373	UNION	BALLESTEROS	3148	3298	3406	3673	3868	4057	BALLESTEROS
14	204	RIO PRIMERO	LA PARA	2955	3190	3470	3669	3769	3772	LA PARA
6	77	GRAL SAN MARTIN	ETRURIA	3283	3385	3433	3620	3719	3723	ETRURIA
1	14K	CAPITAL	VILLA ALLENDE PARQUE	2913	3335	3618	3600	3658	3612	Córdoba
20	293	SAN JUSTO	LA FRANCIA	3125	3271	3423	3530	3581	3610	LA FRANCIA
2	24A	CALAMUCHITA	VILLA DEL DIQUE	2249	2600	2889	3325	3550	3616	VILLA DEL DIQUE
1	14P	CAPITAL	VILLA RIVERA INDARTE	2887	3335	3699	3697	3545	3521	Córdoba
1	10D	CAPITAL	CONGRESO	2455	2811	3086	3290	3496	3566	Córdoba
26	392	UNION	MORRISON	2931	3015	3108	3317	3492	3506	MORRISON
9	128	MARCOS JUAREZ	INRIVILLE	3419	3495	3404	3487	3450	3439	INRIVILLE
13	191	RIO CUARTO	SAN BASILIO	2896	3036	3092	3266	3392	3415	SAN BASILIO
3	27	COLON	ASCOCHINGA	2240	2428	2711	3132	3327	3412	ASCOCHINGA
6	88	GRAL SAN MARTIN	TIO PUJIO	2560	2759	2886	3107	3192	3222	TIO PUJIO
5	60	GENERAL ROCA	DEL CAMPILLO	2863	2916	3117	3214	3192	3158	DEL CAMPILLO
2	25	CALAMUCHITA	SAN AGUSTIN	2729	2794	2902	3066	3165	3183	SAN AGUSTIN
9	119	MARCOS JUAREZ	ALEJO LEDESMA	2880	2948	3019	3106	3157	3158	ALEJO LEDESMA
20	314	SAN JUSTO	TRANSITO	2737	2847	2855	3044	3105	3139	TRANSITO
17	257	ROQUE SAENZ PEÑA	SERRANO	2669	2742	2835	3034	3072	3056	SERRANO
19	269	SAN JAVIER	LA PAZ	2241	2402	2574	2852	3062	3171	LA PAZ
21	316J	SANTA MARIA	VILLA PARQUE SANTA ANA	1399	1611	1883	2572	2999	3156	VILLA PARQUE SANTA ANA
21	326A	SANTA MARIA	YOCSINA	2326	2041	2251	2634	2991	3284	YOCSINA
20	308	SAN JUSTO	SACANTA	2685	2771	2791	2940	2984	2928	SACANTA
6	74	GRAL SAN MARTIN	ARROYO CABRAL	2522	2543	2762	2890	2967	2963	ARROYO CABRAL
2	19	CALAMUCHITA	LOS CONDORES	2563	2696	2722	2833	2945	2945	LOS CONDORES
20	277	SAN JUSTO	ALICIA	2703	2836	2968	3015	2927	2901	ALICIA
6	79	GRAL SAN MARTIN	LA PLAYOSA	2309	2546	2703	2848	2905	2917	LA PLAYOSA
13	170	RIO CUARTO	ELENA	2576	2614	2771	2865	2891	2841	ELENA
12	158C	PUNILLA	VILLA SANTA CRUZ DEL LAGO	1365	1710	2022	2540	2881	3121	VILLA SANTA CRUZ DEL LAGO
26	400	UNION	SAN MARCOS SUD	2472	2549	2601	2757	2823	2840	SAN MARCOS SUD
5	72	GENERAL ROCA	VILLA VALERIA	2283	2399	2463	2687	2778	2786	VILLA VALERIA
1	11L	CAPITAL	COUNTRYS DEL OESTE	1007	1603	2224	2576	2772	2812	Córdoba
1	13D	CAPITAL	JARDIN ARENALES	1515	1859	2199	2553	2733	2792	Córdoba
22	335	SOBREMONTE	CHAÑAR	2300	2348	2451	2548	2733	2784	CHAÑAR
13	160	RIO CUARTO	ACHIRAS	2237	2290	2463	2611	2680	2663	ACHIRAS
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	880	1355	1735	2325	2679	2846	Córdoba
4	55	CRUZ DEL EJE	SERREZUELA	2269	2307	2565	2662	2675	2644	SERREZUELA
2	24	CALAMUCHITA	RUMIPAL	1861	2041	2176	2439	2662	2785	RUMIPAL
9	136	MARCOS JUAREZ	ROCA	2299	2285	2476	2587	2648	2638	ROCA
13	177	RIO CUARTO	LAS ACEQUIAS	2177	2241	2278	2569	2638	2650	LAS ACEQUIAS
1	4E	CAPITAL	NUESTRO HOGAR III	260	976	1512	2135	2596	2771	Córdoba
15	228	RIO SECO	SEBASTIAN ELCANO	2373	2280	2449	2514	2589	2617	SEBASTIAN ELCANO
4	54	CRUZ DEL EJE	SAN MARCOS SIERRAS	1598	1792	1968	2333	2555	2658	SAN MARCOS SIERRAS
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	813	1359	1719	2326	2535	2574	Córdoba
9	132	MARCOS JUAREZ	LOS SURGENTES	2438	2400	2479	2509	2477	2472	LOS SURGENTES
14	213	RIO PRIMERO	OBISPO TREJO	2071	2173	2225	2407	2467	2451	OBISPO TREJO
18	263	SAN ALBERTO	NONO	1731	1985	2130	2381	2462	2453	NONO
21	326C	SANTA MARIA	SAN NICOLAS		497	879	1744	2461	2820	SAN NICOLAS
26	395	UNION	PASCANAS	2255	2346	2435	2474	2458	2422	PASCANAS
16	244	RIO SEGUNDO	SANTIAGO TEMPLE	2171	2280	2364	2425	2448	2452	SANTIAGO TEMPLE
3	31A	COLON	AGUA DE ORO	1734	1866	1896	2220	2420	2485	AGUA DE ORO
20	296	SAN JUSTO	LASPIUR	2199	2187	2201	2376	2386	2374	LASPIUR
26	394	UNION	ORDOÑEZ	2082	2169	2183	2356	2381	2397	ORDOÑEZ
23	337	TERCERO ARRIBA	ASCASUBI	2111	2183	2210	2264	2309	2284	ASCASUBI
1	13K	CAPITAL	VILLA ESQUIU	1560	1644	1845	2110	2307	2333	Córdoba
19	275A	SAN JAVIER	LOS CERRILLOS	1389	1580	1717	2021	2299	2389	LOS CERRILLOS
1	6E	CAPITAL	LA FLORESTA SUD	852	1308	1677	2121	2291	2286	Córdoba
1	4D	CAPITAL	VILLA EUCARISTICA	795	981	1451	1942	2225	2369	Córdoba
16	230	RIO SEGUNDO	CALCHIN	1876	1996	2056	2150	2211	2205	CALCHIN
19	275	SAN JAVIER	SAN JOSE	1809	1889	1963	2119	2206	2161	SAN JOSE
8	117	JUAREZ CELMAN	SANTA EUFEMIA	1962	1973	2041	2122	2158	2149	SANTA EUFEMIA
20	303	SAN JUSTO	MIRAMAR DE ANSENUZA (el DE ANSEUNZA se agrega en 2017)	1854	1869	2023	2081	2148	2208	MIRAMAR DE ANSENUZA (el DE ANSEUNZA se agrega en 2017)
9	127	MARCOS JUAREZ	GUATIMOZIN	2196	2184	2161	2147	2108	2046	GUATIMOZIN
12	147B	PUNILLA	VILLA PARQUE SIQUIMAN	913	1123	1240	1746	2105	2312	VILLA PARQUE SIQUIMAN
10	142	MINAS	SAN CARLOS	1611	1630	1822	2028	2103	2169	SAN CARLOS
14	205	RIO PRIMERO	LA PUERTA	1677	1780	1879	2012	2102	2118	LA PUERTA
25	361	TULUMBA	LAS ARRIAS	1522	1747	1805	2046	2035	1975	LAS ARRIAS
6	87	GRAL SAN MARTIN	TICINO	1608	1800	1914	1998	2017	1998	TICINO
24	357	TOTORAL	SINSACATE	1127	1285	1465	1774	1995	2053	SINSACATE
9	121	MARCOS JUAREZ	BALDISSERA	1934	1978	1985	1992	1988	2024	BALDISSERA
11	146	POCHO	SALSACATE	1752	1687	1764	1978	1982	1983	SALSACATE
3	32	COLON	GENERAL PAZ	1588	1679	1795	1863	1973	1969	GENERAL PAZ
20	288	SAN JUSTO	EL ARAÑADO	1736	1784	1873	1965	1956	1997	EL ARAÑADO
1	5H	CAPITAL	VILLA BOEDO	596	1030	1527	1742	1944	1935	Córdoba
8	107	JUAREZ CELMAN	CARNERILLO	1648	1774	1796	1884	1929	1953	CARNERILLO
20	290	SAN JUSTO	EL TIO	1544	1678	1698	1850	1901	1955	EL TIO
25	371	TULUMBA	TULUMBA	1560	1662	1758	1844	1899	1996	TULUMBA
1	5B	CAPITAL	DEAN FUNES	1868	1874	1905	1892	1888	1827	Córdoba
20	278	SAN JUSTO	ALTOS DE CHIPION	1553	1643	1769	1853	1886	1890	ALTOS DE CHIPION
1	10M	CAPITAL	AMPLIACION CABILDO		575	982	1555	1868	1994	Córdoba
20	283	SAN JUSTO	CONCEPCION	1654	1606	1659	1767	1826	1818	CONCEPCION
13	164	RIO CUARTO	BAIGORRIA	1465	1589	1642	1757	1816	1878	BAIGORRIA
12	156A	PUNILLA	YCHO CRUZ	985	1176	1339	1620	1802	1874	YCHO CRUZ
5	59	GENERAL ROCA	BUCHARDO	1767	1734	1712	1803	1777	1763	BUCHARDO
20	301	SAN JUSTO	MARULL	1678	1705	1759	1757	1770	1745	MARULL
16	232	RIO SEGUNDO	CARRILOBO	1593	1649	1705	1705	1735	1737	CARRILOBO
